path,label,generator
test/Midjourney/0_real/ILSVRC2012_val_00041884.JPEG,0,Midjourney
test/Midjourney/0_real/ILSVRC2012_val_00043235.JPEG,0,Midjourney
test/Midjourney/0_real/ILSVRC2012_val_00003703.JPEG,0,Midjourney
test/Midjourney/0_real/ILSVRC2012_val_00030282.JPEG,0,Midjourney
test/Midjourney/1_fake/699_midjourney_88.png,1,Midjourney
test/Midjourney/1_fake/490_midjourney_34.png,1,Midjourney
test/Midjourney/1_fake/464_midjourney_34.png,1,Midjourney
test/Midjourney/1_fake/704_midjourney_198.png,1,Midjourney
test/stable_diffusion_v_1_4/0_real/ILSVRC2012_val_00001747.JPEG,0,SD
test/stable_diffusion_v_1_4/0_real/ILSVRC2012_val_00009194.JPEG,0,SD
test/stable_diffusion_v_1_5/0_real/ILSVRC2012_val_00039984.JPEG,0,SD
test/wukong/0_real/ILSVRC2012_val_00048503.JPEG,0,SD
test/stable_diffusion_v_1_4/1_fake/230_sdv4_00035.png,1,SD
test/stable_diffusion_v_1_5/1_fake/895_sdv5_00009.png,1,SD
test/stable_diffusion_v_1_5/1_fake/133_sdv5_00009.png,1,SD
test/stable_diffusion_v_1_5/1_fake/904_sdv5_00195.png,1,SD
test/ADM/0_real/ILSVRC2012_val_00000682.JPEG,0,ADM
test/ADM/0_real/ILSVRC2012_val_00034788.JPEG,0,ADM
test/ADM/0_real/ILSVRC2012_val_00046931.JPEG,0,ADM
test/ADM/0_real/ILSVRC2012_val_00038532.JPEG,0,ADM
test/ADM/1_fake/652_adm_174.PNG,1,ADM
test/ADM/1_fake/697_adm_174.PNG,1,ADM
test/ADM/1_fake/878_adm_85.PNG,1,ADM
test/ADM/1_fake/709_adm_34.PNG,1,ADM
test/glide/0_real/ILSVRC2012_val_00048497.JPEG,0,glide
test/glide/0_real/ILSVRC2012_val_00002875.JPEG,0,glide
test/glide/0_real/ILSVRC2012_val_00003406.JPEG,0,glide
test/glide/0_real/ILSVRC2012_val_00038548.JPEG,0,glide
test/glide/1_fake/GLIDE_1000_200_05_523_glide_00035.png,1,glide
test/glide/1_fake/GLIDE_1000_200_08_880_glide_00035.png,1,glide
test/glide/1_fake/GLIDE_1000_200_04_452_glide_00143.png,1,glide
test/glide/1_fake/GLIDE_1000_200_00_041_glide_00143.png,1,glide
test/VQDM/0_real/ILSVRC2012_val_00015183.JPEG,0,VQDM
test/VQDM/0_real/ILSVRC2012_val_00036973.JPEG,0,VQDM
test/VQDM/0_real/ILSVRC2012_val_00021409.JPEG,0,VQDM
test/VQDM/0_real/ILSVRC2012_val_00018227.JPEG,0,VQDM
test/VQDM/1_fake/VQDM_1000_200_03_356_vqdm_00020.png,1,VQDM
test/VQDM/1_fake/VQDM_1000_200_01_102_vqdm_00127.png,1,VQDM
test/VQDM/1_fake/VQDM_1000_200_02_214_vqdm_00039.png,1,VQDM
test/VQDM/1_fake/VQDM_1000_200_01_194_vqdm_00143.png,1,VQDM
test/BigGAN/0_real/ILSVRC2012_val_00023462.JPEG,0,BigGAN
test/BigGAN/0_real/ILSVRC2012_val_00047173.JPEG,0,BigGAN
test/BigGAN/0_real/ILSVRC2012_val_00015196.JPEG,0,BigGAN
test/BigGAN/0_real/ILSVRC2012_val_00014537.JPEG,0,BigGAN
test/BigGAN/1_fake/568_biggan_00020.png,1,BigGAN
test/BigGAN/1_fake/489_biggan_00074.png,1,BigGAN
test/BigGAN/1_fake/502_biggan_00035.png,1,BigGAN
test/BigGAN/1_fake/551_biggan_00127.png,1,BigGAN
