path,label,generator,source_key
SD1.5/0_real/00521_80f78df1e62b5ff7.jpg,0,SD1.5,002826095.jpg
SD1.5/0_real/02103_f4aaed9012de6cec.jpg,0,SD1.5,entire/sd15/real/000000143217.jpg
SD1.5/0_real/03380_17db0096aec74253.jpg,0,SD1.5,entire/sd15/real/000000103722.jpg
SD1.5/0_real/04018_fead80adf12b250a.jpg,0,SD1.5,entire/sd15/real/000000511644.jpg
SD1.5/0_real/04627_a2894d26484e8c58.jpg,0,SD1.5,entire/sd15/real/000000534889.jpg
SD1.5/0_real/07513_42a75c73fe1e7ecc.jpg,0,SD1.5,partial/sd15/real/000651085.jpg
SD1.5/0_real/08584_7a9ba7adeef6e524.jpg,0,SD1.5,partial/sd15/real/000658716.jpg
SD1.5/0_real/09494_99457e6c84c23ae1.jpg,0,SD1.5,partial/sd15/real/000141763.jpg
SD1.5/1_fake/00469_06a8f50823c4dad4.png,1,SD1.5,226441.png
SD1.5/1_fake/00971_a3dff0c3007415f9.png,1,SD1.5,4317739.png
SD1.5/1_fake/02127_830fe9ae59af1994.jpg,1,SD1.5,entire/sd15/fake/000000403907.jpg
SD1.5/1_fake/03309_9a7a9658f23dd1f3.jpg,1,SD1.5,entire/sd15/fake/000000476145.jpg
SD1.5/1_fake/04540_60a264bce1e29395.jpg,1,SD1.5,entire/sd15/fake/000000334283.jpg
SD1.5/1_fake/05708_82d79ba4964cbf60.jpg,1,SD1.5,partial/sd15/fake/000997863.jpg
SD1.5/1_fake/07221_0850a0343d367211.jpg,1,SD1.5,partial/sd15/fake/000734559.jpg
SD1.5/1_fake/08642_f00cd4453c31b8d9.jpg,1,SD1.5,partial/sd15/fake/000990243.jpg
SD2.1/0_real/00871_393a8bb6ef18f95d.jpg,0,SD2.1,entire/sd2/real/000000324645.jpg
SD2.1/0_real/01861_d5ab67aee6370dd2.jpg,0,SD2.1,entire/sd2/real/000000407521.jpg
SD2.1/0_real/02892_08afef518adca136.jpg,0,SD2.1,entire/sd2/real/000000299723.jpg
SD2.1/0_real/04103_faf0b89fa463d9db.jpg,0,SD2.1,entire/sd2/real/000000185943.jpg
SD2.1/0_real/05131_0ed06f67ee95d887.jpg,0,SD2.1,partial/sd2/real/002018253.jpg
SD2.1/0_real/05325_8711351788706b82.jpg,0,SD2.1,partial/sd2/real/002024791.jpg
SD2.1/0_real/07547_52ae70763170859c.jpg,0,SD2.1,partial/sd2/real/002016706.jpg
SD2.1/0_real/09908_1bcfe7d6bcafa6a1.jpg,0,SD2.1,partial/sd2/real/002008689.jpg
SD2.1/1_fake/00804_1f752c107bae3a15.jpg,1,SD2.1,entire/sd2/fake/000000175197.jpg
SD2.1/1_fake/01598_b95399d887eef5e3.jpg,1,SD2.1,entire/sd2/fake/000000351127.jpg
SD2.1/1_fake/02372_0a4caaee5888d35a.jpg,1,SD2.1,entire/sd2/fake/000000464178.jpg
SD2.1/1_fake/05173_39efb9b3c09174b0.jpg,1,SD2.1,partial/sd2/fake/002021780.jpg
SD2.1/1_fake/05503_52092b74fd5ac20c.jpg,1,SD2.1,partial/sd2/fake/002012053.jpg
SD2.1/1_fake/06674_ecb030e6f0eea0df.jpg,1,SD2.1,partial/sd2/fake/002007359.jpg
SD2.1/1_fake/08405_78208cbea212df3f.jpg,1,SD2.1,partial/sd2/fake/002002802.jpg
SD2.1/1_fake/08575_fa46318c6dea97ca.jpg,1,SD2.1,partial/sd2/fake/002024376.jpg
SDXL/0_real/02520_4005bd93dfb66ae7.jpg,0,SDXL,entire/sdxl/real/000000390175.jpg
SDXL/0_real/02664_99449463b65f6929.jpg,0,SDXL,entire/sdxl/real/000000328727.jpg
SDXL/0_real/03720_e23601134b137941.jpg,0,SDXL,entire/sdxl/real/000000297819.jpg
SDXL/0_real/04774_41ea3fd49c42c8f9.jpg,0,SDXL,entire/sdxl/real/000000334699.jpg
SDXL/0_real/05058_1abd6415dee3a46f.jpg,0,SDXL,partial/sdxl/real/002118437.jpg
SDXL/0_real/05082_4d669d29d5554946.jpg,0,SDXL,partial/sdxl/real/002103715.jpg
SDXL/0_real/07566_558616157ac3e220.jpg,0,SDXL,partial/sdxl/real/002109142.jpg
SDXL/0_real/08526_608a991d3f688092.jpg,0,SDXL,partial/sdxl/real/002108327.jpg
SDXL/1_fake/01055_57f58cd58339c1bf.jpg,1,SDXL,entire/sdxl/fake/000000568023.jpg
SDXL/1_fake/02588_cc1b74dd94dedd53.jpg,1,SDXL,entire/sdxl/fake/000000538497.jpg
SDXL/1_fake/02798_6d89f5e1a71cbe11.jpg,1,SDXL,entire/sdxl/fake/000000332377.jpg
SDXL/1_fake/03448_ed55ef15eae08eee.jpg,1,SDXL,entire/sdxl/fake/000000560204.jpg
SDXL/1_fake/07101_5330c00632a2f82e.jpg,1,SDXL,partial/sdxl/fake/002101918.jpg
SDXL/1_fake/08060_531a60e21d57396a.jpg,1,SDXL,partial/sdxl/fake/002103648.jpg
SDXL/1_fake/08459_037594fde0eef787.jpg,1,SDXL,partial/sdxl/fake/002106006.jpg
SDXL/1_fake/09602_35205c647987bb2b.jpg,1,SDXL,partial/sdxl/fake/002114234.jpg
SD3/0_real/00146_dcd6b9bc2cf6ef95.jpg,0,SD3,entire/sd3/real/000000132316.jpg
SD3/0_real/01451_75c70d42cb2e1e2d.jpg,0,SD3,entire/sd3/real/000000056287.jpg
SD3/0_real/03358_055d81ee86cc846e.jpg,0,SD3,entire/sd3/real/000000564550.jpg
SD3/0_real/04968_da9788c108dadc47.jpg,0,SD3,entire/sd3/real/000000119357.jpg
SD3/0_real/07652_fcd20bb05fabf027.jpg,0,SD3,partial/sd3/real/001952109.jpg
SD3/0_real/09563_80c148e11d3cee9a.jpg,0,SD3,partial/sd3/real/001971997.jpg
SD3/0_real/09589_ea93db0c9b0ef216.jpg,0,SD3,partial/sd3/real/001979169.jpg
SD3/0_real/09982_930f28617e6c34e3.jpg,0,SD3,partial/sd3/real/001972244.jpg
SD3/1_fake/01626_5bd87111b61fd663.jpg,1,SD3,entire/sd3/fake/000000389441.jpg
SD3/1_fake/01839_8b8a050384245761.jpg,1,SD3,entire/sd3/fake/000000333946.jpg
SD3/1_fake/03131_1f63b15cf2dae377.jpg,1,SD3,entire/sd3/fake/000000515186.jpg
SD3/1_fake/03946_ada4e7bc0ddacb41.jpg,1,SD3,entire/sd3/fake/000000258956.jpg
SD3/1_fake/05435_3ec90bc7439462dd.jpg,1,SD3,partial/sd3/fake/001975864.jpg
SD3/1_fake/07433_cfd4327ec4e3882e.jpg,1,SD3,partial/sd3/fake/001973577.jpg
SD3/1_fake/07558_75895d26c80433a9.jpg,1,SD3,partial/sd3/fake/001954884.jpg
SD3/1_fake/07723_901ce35b13160967.jpg,1,SD3,partial/sd3/fake/001971476.jpg
FLUX.1/0_real/00608_0b2c6daf08b3ffcb.jpg,0,FLUX.1,entire/flux/real/000000342952.jpg
FLUX.1/0_real/01144_6761a6fd1d19e4a2.jpg,0,FLUX.1,entire/flux/real/000000432598.jpg
FLUX.1/0_real/02435_a3213087904d29d5.jpg,0,FLUX.1,entire/flux/real/000000290305.jpg
FLUX.1/0_real/04047_188b44fe211d07eb.jpg,0,FLUX.1,entire/flux/real/000000401919.jpg
FLUX.1/0_real/04669_347b061e462ad98a.jpg,0,FLUX.1,entire/flux/real/000000068408.jpg
FLUX.1/0_real/07424_1f47257e520a9c77.jpg,0,FLUX.1,partial/flux/real/000201597.jpg
FLUX.1/0_real/08738_a148b38d2cf18dbc.jpg,0,FLUX.1,partial/flux/real/000223343.jpg
FLUX.1/0_real/09385_ba1eb74a2d98d07e.jpg,0,FLUX.1,partial/flux/real/000202372.jpg
FLUX.1/1_fake/01767_871a0155a103529c.jpg,1,FLUX.1,entire/flux/fake/000000375500.jpg
FLUX.1/1_fake/03061_a051c27cd6969264.jpg,1,FLUX.1,entire/flux/fake/000000579594.jpg
FLUX.1/1_fake/03107_97a4024b26c3a880.jpg,1,FLUX.1,entire/flux/fake/000000105192.jpg
FLUX.1/1_fake/06305_5fbf3ccd2b8b9720.jpg,1,FLUX.1,partial/flux/fake/000229268.jpg
FLUX.1/1_fake/06815_fdc754c1dccb0470.jpg,1,FLUX.1,partial/flux/fake/000220546.jpg
FLUX.1/1_fake/07314_fc93aaaf008a415d.jpg,1,FLUX.1,partial/flux/fake/000223747.jpg
FLUX.1/1_fake/09621_92d75485a8e1fc82.jpg,1,FLUX.1,partial/flux/fake/000175223.jpg
FLUX.1/1_fake/09948_2db634e365878325.jpg,1,FLUX.1,partial/flux/fake/000225727.jpg
