path,label,generator,split,source_generator
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/528_adm_153.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/239_adm_85.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/119_adm_85.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/647_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/824_adm_7.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/972_adm_153.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/903_adm_153.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/337_adm_153.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/607_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/447_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/935_adm_91.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/350_adm_85.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/392_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/747_adm_34.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/828_adm_7.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/501_adm_153.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/557_adm_91.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/409_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/356_adm_7.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/620_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/594_adm_34.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/551_adm_153.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/807_adm_34.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/103_adm_85.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/17_adm_91.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/151_adm_85.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/324_adm_91.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/24_adm_85.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/831_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/420_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/82_adm_34.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/79_adm_153.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/105_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/557_adm_7.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/396_adm_153.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/505_adm_85.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/234_adm_85.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/964_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/323_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/113_adm_153.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/819_adm_34.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/615_adm_7.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/406_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/466_adm_34.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/670_adm_34.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/908_adm_85.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/578_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/230_adm_7.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/914_adm_174.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/874_adm_7.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/971_adm_7.PNG,1,GenImage,pool,ADM
/home/yabin/projects/IAPL-GenImage/data/GenImage/test/ADM/1_fake/781_adm_153.PNG,1,GenImage,pool,ADM
