path,label,generator,split,source_path
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r000da54ft.png,0,DALL-E 2,pool,real_RAISE_1k/r000da54ft.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r001d260dt.png,0,DALL-E 2,pool,real_RAISE_1k/r001d260dt.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r002fc3e2t.png,0,DALL-E 2,pool,real_RAISE_1k/r002fc3e2t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r00444b95t.png,0,DALL-E 2,pool,real_RAISE_1k/r00444b95t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r005f3e70t.png,0,DALL-E 2,pool,real_RAISE_1k/r005f3e70t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r00617aa1t.png,0,DALL-E 2,pool,real_RAISE_1k/r00617aa1t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r00679daet.png,0,DALL-E 2,pool,real_RAISE_1k/r00679daet.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r006b0e4bt.png,0,DALL-E 2,pool,real_RAISE_1k/r006b0e4bt.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r006fcc20t.png,0,DALL-E 2,pool,real_RAISE_1k/r006fcc20t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r007f5116t.png,0,DALL-E 2,pool,real_RAISE_1k/r007f5116t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r00816405t.png,0,DALL-E 2,pool,real_RAISE_1k/r00816405t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r00869422t.png,0,DALL-E 2,pool,real_RAISE_1k/r00869422t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r00879054t.png,0,DALL-E 2,pool,real_RAISE_1k/r00879054t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r008a2095t.png,0,DALL-E 2,pool,real_RAISE_1k/r008a2095t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r008ed083t.png,0,DALL-E 2,pool,real_RAISE_1k/r008ed083t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r00a940e1t.png,0,DALL-E 2,pool,real_RAISE_1k/r00a940e1t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r00b3931bt.png,0,DALL-E 2,pool,real_RAISE_1k/r00b3931bt.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r00b8d4a2t.png,0,DALL-E 2,pool,real_RAISE_1k/r00b8d4a2t.png
/home/yabin/projects/fsaid/data/work/synthbuster_clipdet_official/evaluation/dalle2/0_real/r00c0995ft.png,0,DALL-E 2,pool,real_RAISE_1k/r00c0995ft.png
