path,label,generator,split,source_key
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00000_ae8399fc4c8f7cdc.jpg,0,SD1.5,pool,004912502.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00001_c3f7d92201da44e0.jpg,0,SD1.5,pool,002437849.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00002_05b877891e21ad3f.jpg,0,SD1.5,pool,002112279.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00003_9c27e7fe7f89ddec.jpg,0,SD1.5,pool,002188053.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00004_bda71bd5e9f4e808.jpg,0,SD1.5,pool,004205500.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00005_0752d774245f3e70.jpg,0,SD1.5,pool,002304558.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00006_c545ca51e4a25452.jpg,0,SD1.5,pool,001842870.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00007_c5b026a2dbd6d933.jpg,0,SD1.5,pool,004054409.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00008_487bd5199eb3f205.jpg,0,SD1.5,pool,003782607.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00009_f6602dfc1df0024e.jpg,0,SD1.5,pool,004827186.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00010_9f0eb98ddbd70999.jpg,0,SD1.5,pool,002759051.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00011_24ffdd9f70060904.jpg,0,SD1.5,pool,001857694.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00012_28776a835a5f7c29.jpg,0,SD1.5,pool,003868729.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00013_00bf1f16799af398.jpg,0,SD1.5,pool,003699342.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00014_90e3c6c2ca147df5.jpg,0,SD1.5,pool,002236881.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00015_5988c5b0137fd5e7.jpg,0,SD1.5,pool,000552398.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00016_5c1a9793b353531c.jpg,0,SD1.5,pool,004664947.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00017_220efb4b9b653d0f.jpg,0,SD1.5,pool,003621963.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00018_53a8e4313c8ef303.jpg,0,SD1.5,pool,001914951.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00019_5cb505bde46252f0.jpg,0,SD1.5,pool,002928036.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00020_9e7fca077184f427.jpg,0,SD1.5,pool,000264225.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00021_70794a872140fa9b.jpg,0,SD1.5,pool,001809525.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00022_3b6564ceca027c12.jpg,0,SD1.5,pool,001683728.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00023_4e67590301e3ffb8.jpg,0,SD1.5,pool,003655261.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00024_b521c2ca116d8f07.jpg,0,SD1.5,pool,002346367.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00025_4671766287192051.jpg,0,SD1.5,pool,000099189.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00026_24fcc26f5b844288.jpg,0,SD1.5,pool,005110350.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00027_e8d0ad63904e21d7.jpg,0,SD1.5,pool,004222486.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00028_26126e73e96bc5b8.jpg,0,SD1.5,pool,003594040.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00029_fa0955dc9ff0d15d.jpg,0,SD1.5,pool,003551541.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00030_a4dab80529077b4f.jpg,0,SD1.5,pool,004978346.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00031_1cd7db7724424b29.jpg,0,SD1.5,pool,002366860.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00032_9f30e78269d40444.jpg,0,SD1.5,pool,002274182.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00033_68ac6dd0f97d50b7.jpg,0,SD1.5,pool,002833515.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00034_706eba72600c324a.jpg,0,SD1.5,pool,003724078.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00035_9f2dd6f440de8930.jpg,0,SD1.5,pool,000252074.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00036_30cf0a06d0d37560.jpg,0,SD1.5,pool,000330650.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00037_95478e2c1ce8c304.jpg,0,SD1.5,pool,000843673.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00038_7654c594e8d1e56a.jpg,0,SD1.5,pool,002362641.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00039_434257220a383739.jpg,0,SD1.5,pool,002142359.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00040_166ee81f0815e7ff.jpg,0,SD1.5,pool,003751494.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00041_2849a24f8427ea00.jpg,0,SD1.5,pool,000180925.jpg
/home/yabin/projects/fsaid/data/work/opensdi_test_images/SD1.5/0_real/00042_cf8d8cc2e63f2550.jpg,0,SD1.5,pool,001997843.jpg
